Date,Open,High,Low,Close,Volume
2018-07-09 00:00,6712.1,6802.06,6612.24,6662.12,179250573.66648534
2018-07-10 00:00,6662.78,6681.0,6263.0,6296.91,249099760.1897497
2018-07-11 00:00,6296.91,6406.0,6278.99,6378.07,182357469.02807087
2018-07-12 00:00,6378.07,6380.28,6070.0,6250.57,194325733.7875043
2018-07-13 00:00,6251.4,6350.0,6110.0,6214.57,164467999.80925834
2018-07-14 00:00,6214.57,6335.0,6178.0,6251.99,110959488.24719918
2018-07-15 00:00,6250.9,6395.0,6225.4,6353.01,145409822.7448766
2018-07-16 00:00,6354.15,6747.3,6330.4,6723.35,237104112.45049536
2018-07-17 00:00,6723.33,7468.99,6652.04,7317.44,364669305.0369064
2018-07-18 00:00,7317.44,7588.08,7225.38,7381.9,440669913.2083524
2018-07-19 00:00,7381.88,7576.28,7270.0,7466.21,305198281.13948625
2018-07-20 00:00,7468.86,7700.0,7273.0,7337.53,342862693.0959096
2018-07-21 00:00,7337.47,7458.47,7211.0,7398.78,212126417.2287315
2018-07-22 00:00,7399.25,7582.4,7335.5,7394.79,225619234.83744207
2018-07-23 00:00,7394.78,7833.0,7375.0,7721.01,320156546.58240986
2018-07-24 00:00,7721.65,8486.0,7696.0,8397.24,487117211.68189824
2018-07-25 00:00,8397.24,8491.77,8050.0,8175.64,398119757.80385005
2018-07-26 00:00,8175.63,8315.69,7850.06,7920.0,352101207.6799552
2018-07-27 00:00,7920.0,8285.0,7805.0,8188.57,350881696.75270694
2018-07-28 00:00,8188.57,8246.54,8067.0,8225.04,214357817.0314018
2018-07-29 00:00,8225.04,8294.51,8115.0,8211.0,209564023.05224952
2018-07-30 00:00,8210.99,8273.0,7866.0,8173.92,321599782.180698
2018-07-31 00:00,8171.4,8180.0,7633.0,7730.93,379841367.2024023
2018-08-01 00:00,7735.67,7750.0,7430.0,7604.58,322252070.44348675
2018-08-02 00:00,7600.08,7709.46,7455.72,7525.71,285656680.7015636
2018-08-03 00:00,7525.71,7540.0,7282.44,7418.78,330599837.7285522
2018-08-04 00:00,7412.27,7494.81,6926.0,7009.84,262282965.4857332
2018-08-05 00:00,7009.84,7089.87,6882.29,7024.19,229992627.52322164
2018-08-06 00:00,7024.19,7160.0,6821.0,6934.82,229071781.11536673
2018-08-07 00:00,6935.0,7150.46,6670.0,6720.06,316365882.1031662
2018-08-08 00:00,6720.63,6721.54,6123.0,6285.0,382460776.49398136
2018-08-09 00:00,6283.27,6622.81,6178.6,6529.79,332880900.89059937
2018-08-10 00:00,6529.79,6575.88,6026.39,6144.01,374699380.94849145
2018-08-11 00:00,6148.13,6488.0,5971.0,6232.35,291056267.0892287
2018-08-12 00:00,6222.55,6472.3,6130.0,6308.33,243227298.87942725
2018-08-13 00:00,6308.56,6545.0,6145.04,6246.35,341552293.0073
2018-08-14 00:00,6248.25,6250.33,5880.0,6188.08,303179556.3624503
2018-08-15 00:00,6188.08,6609.0,6172.11,6267.16,439109005.4034304
2018-08-16 00:00,6265.27,6480.0,6205.6,6311.75,307755605.1624039
2018-08-17 00:00,6316.0,6585.0,6285.4,6584.49,374472431.7235812
2018-08-18 00:00,6579.04,6620.0,6288.0,6387.96,345964004.3657212
2018-08-19 00:00,6387.96,6541.0,6300.0,6477.53,289271954.5532653
2018-08-20 00:00,6477.53,6530.0,6220.0,6254.84,317617945.7492608
2018-08-21 00:00,6251.0,6500.0,6235.08,6480.0,265458342.7817206
2018-08-22 00:00,6479.98,6882.54,6251.2,6360.89,512501182.2029021
2018-08-23 00:00,6362.57,6576.99,6342.28,6525.01,259786384.55491504
2018-08-24 00:00,6525.0,6725.0,6440.5,6681.64,251513064.47447148
2018-08-25 00:00,6686.98,6789.0,6650.61,6733.64,129083702.47542232
2018-08-26 00:00,6733.64,6775.27,6568.0,6700.0,134117930.3957502
2018-08-27 00:00,6700.0,6940.51,6646.5,6908.64,254214730.3171242
2018-08-28 00:00,6907.26,7135.0,6860.0,7076.11,338220284.29016566
2018-08-29 00:00,7077.0,7133.81,6912.34,7031.22,304565438.4850058
2018-08-30 00:00,7033.21,7063.63,6784.81,6984.84,309357226.58362526
2018-08-31 00:00,6984.84,7089.0,6888.0,7011.21,282722730.06131953
2018-09-01 00:00,7011.21,7275.0,7008.74,7200.01,287299347.7691456
2018-09-02 00:00,7201.57,7345.45,7127.0,7302.01,288526018.71327895
2018-09-03 00:00,7302.0,7338.28,7191.63,7263.02,235393601.4251404
2018-09-04 00:00,7263.0,7410.0,7227.17,7359.06,258978411.271086
2018-09-05 00:00,7359.05,7397.3,6682.0,6700.0,449463489.0579976
2018-09-06 00:00,6697.27,6725.0,6265.0,6516.01,390391932.2091176
2018-09-07 00:00,6516.84,6544.0,6320.0,6395.54,250716129.90518975
2018-09-08 00:00,6395.54,6478.0,6111.0,6185.05,241711345.37120345
2018-09-09 00:00,6185.06,6441.0,6141.53,6250.81,233583450.10542047
2018-09-10 00:00,6252.26,6373.98,6221.0,6312.0,204178349.9698747
2018-09-11 00:00,6311.99,6404.0,6169.68,6294.91,208346648.80045933
2018-09-12 00:00,6293.0,6360.0,6192.37,6338.62,197398009.0125667
2018-09-13 00:00,6338.62,6535.0,6337.4,6487.38,260985165.19184464
2018-09-14 00:00,6487.39,6584.99,6385.62,6476.63,241466662.64800572
2018-09-15 00:00,6476.63,6565.45,6466.13,6514.96,164557841.0798692
2018-09-16 00:00,6514.96,6524.62,6370.0,6505.0,178614079.15149954
2018-09-17 00:00,6500.08,6533.84,6201.0,6248.69,228970700.75042212
2018-09-18 00:00,6248.69,6390.0,6224.98,6336.45,205736329.40707865
2018-09-19 00:00,6336.39,6517.7,6123.0,6391.89,247455364.5237956
2018-09-20 00:00,6392.0,6540.0,6325.0,6492.0,161844271.63360685
2018-09-21 00:00,6492.0,6784.86,6491.0,6759.02,345746941.9999864
2018-09-22 00:00,6759.01,6839.03,6627.0,6723.05,197210670.89197847
2018-09-23 00:00,6723.05,6788.23,6661.75,6708.0,203479219.38640648
2018-09-24 00:00,6706.81,6730.0,6557.0,6581.39,234355999.54311827
2018-09-25 00:00,6581.42,6584.01,6325.02,6447.54,258927200.8310643
2018-09-26 00:00,6445.11,6557.99,6379.7,6465.12,216859675.30134344
2018-09-27 00:00,6467.84,6750.0,6434.0,6689.13,216914853.24175173
2018-09-28 00:00,6689.12,6814.8,6540.88,6634.58,283144987.50423056
2018-09-29 00:00,6634.58,6636.0,6464.57,6596.38,198424303.60660568
2018-09-30 00:00,6597.66,6662.0,6533.0,6626.57,183438992.37719536
2018-10-01 00:00,6626.57,6667.09,6510.0,6611.61,136115256.9683068
2018-10-02 00:00,6610.0,6640.0,6494.0,6525.79,185725492.2802391
2018-10-03 00:00,6525.79,6549.0,6430.0,6510.0,184622957.0249073
2018-10-04 00:00,6510.01,6643.46,6505.09,6593.79,132348680.67600606
2018-10-05 00:00,6591.69,6697.0,6543.08,6635.65,106264514.65757656
2018-10-06 00:00,6635.65,6651.0,6566.77,6594.27,72247942.41429408
2018-10-07 00:00,6596.44,6640.0,6525.0,6615.26,114489082.7536428
2018-10-08 00:00,6615.26,6715.6,6587.0,6673.01,153704602.4302414
2018-10-09 00:00,6673.01,6685.38,6607.0,6656.61,102115186.42882323
2018-10-10 00:00,6656.67,6659.95,6530.0,6631.0,101609680.88217255
2018-10-11 00:00,6630.21,6633.92,6205.0,6252.68,308153124.4458242
2018-10-12 00:00,6252.71,6360.0,6209.0,6298.01,183030273.0112748
2018-10-13 00:00,6298.0,6345.0,6285.07,6332.93,120728650.99596693
